shift_id,rider_id,status
816,119,confirmed
817,111,confirmed
818,42,confirmed
819,58,confirmed
820,24,confirmed
821,14,confirmed
822,14,confirmed
823,24,confirmed
824,24,confirmed
825,24,confirmed
826,24,confirmed
827,14,confirmed
828,16,confirmed
829,16,confirmed
830,1,confirmed
831,30,confirmed
832,17,confirmed
833,16,confirmed
834,17,confirmed
835,148,confirmed
836,71,confirmed
837,,unassigned
838,111,confirmed
839,70,confirmed
840,111,confirmed
841,70,confirmed
842,111,confirmed
843,70,confirmed
844,111,confirmed
845,14,confirmed
846,14,confirmed
847,70,confirmed
848,,cancelled_by_rider
849,117,confirmed
850,,cancelled_by_rider
851,199,confirmed
852,,cancelled_by_rider
853,121,confirmed
854,49,confirmed
855,199,confirmed
856,1,confirmed
857,1,confirmed
858,1,confirmed
859,1,confirmed
860,17,confirmed
861,12,confirmed
862,16,confirmed
863,17,confirmed
864,12,confirmed
865,24,confirmed
866,17,confirmed
867,17,confirmed
868,49,confirmed
869,,cancelled_by_rider
870,49,confirmed
871,49,confirmed
872,43,confirmed
873,60,confirmed
874,9,confirmed
875,43,confirmed
876,199,confirmed
877,9,confirmed
878,64,confirmed
879,9,confirmed
880,,cancelled_by_rider
881,9,confirmed
882,197,confirmed
883,16,confirmed
884,17,confirmed
885,,cancelled_by_rider
886,9,confirmed
887,31,confirmed
888,31,confirmed
889,49,confirmed
890,32,confirmed
891,32,confirmed
892,111,confirmed
893,119,confirmed
894,119,confirmed
895,58,confirmed
896,31,confirmed
897,31,confirmed
898,49,confirmed
899,32,confirmed
900,32,confirmed
901,27,confirmed
902,28,confirmed
903,28,confirmed
904,28,confirmed
905,27,confirmed
906,28,confirmed
907,65,confirmed
908,65,confirmed
909,49,confirmed
910,29,confirmed
911,29,confirmed
912,29,confirmed
913,,cancelled_by_rider
914,29,confirmed
915,69,confirmed
916,29,confirmed
917,60,confirmed
918,17,confirmed
919,24,confirmed
920,73,confirmed
921,111,confirmed
922,49,confirmed
923,111,confirmed
924,,cancelled_by_rider
925,43,confirmed
926,77,confirmed
927,,cancelled_by_rider
928,200,confirmed
929,,cancelled_by_rider
930,7,confirmed
931,,cancelled_by_rider
932,,cancelled_by_rider
933,,cancelled_by_rider
934,,cancelled_by_rider
935,,cancelled_by_rider
936,117,confirmed
937,,cancelled_by_rider
938,9,confirmed
939,30,confirmed
940,30,confirmed
941,60,confirmed
942,30,confirmed
943,111,confirmed
944,197,confirmed
945,148,confirmed
946,,cancelled_by_rider
947,111,confirmed
948,,cancelled_by_rider
949,30,cancelled_by_rider
950,148,confirmed
951,111,confirmed
952,,cancelled_by_rider
953,69,confirmed
954,24,confirmed
955,7,confirmed
956,,cancelled_by_rider
957,19,confirmed
958,148,confirmed
959,9,confirmed
960,17,cancelled_by_rider
961,9,confirmed
962,197,confirmed
963,58,confirmed
964,119,confirmed
965,198,confirmed
966,,cancelled_by_rider
967,42,confirmed
968,,cancelled_by_rider
969,,cancelled_by_rider
970,1,confirmed
971,69,confirmed
972,199,confirmed
973,199,confirmed
974,58,confirmed
975,49,confirmed
976,58,confirmed
977,58,confirmed
978,11,confirmed
979,11,confirmed
980,60,confirmed
981,22,confirmed
982,22,confirmed
983,22,confirmed
984,22,confirmed
985,71,confirmed
986,22,confirmed
987,42,confirmed
988,61,confirmed
989,61,confirmed
990,61,confirmed
991,61,confirmed
992,42,confirmed
993,42,confirmed
994,35,confirmed
995,35,confirmed
996,119,confirmed
997,119,confirmed
998,64,confirmed
999,202,confirmed
1000,68,cancelled_by_rider
1001,30,confirmed
1002,77,confirmed
1003,31,confirmed
1004,,cancelled_by_rider
1005,119,confirmed
1006,19,confirmed
1007,31,confirmed
1008,31,confirmed
1009,11,confirmed
1010,119,confirmed
1011,32,confirmed
1012,58,confirmed
1013,11,confirmed
1014,,cancelled_by_rider
1015,32,confirmed
1016,58,confirmed
1017,119,confirmed
1018,,cancelled_by_rider
1019,32,confirmed
1020,31,confirmed
1021,57,confirmed
1022,57,confirmed
1023,57,confirmed
1024,57,confirmed
1025,202,confirmed
1026,201,confirmed
1027,57,confirmed
1028,57,confirmed
1029,57,confirmed
1030,57,confirmed
1031,203,confirmed
1032,203,confirmed
1033,203,confirmed
1034,203,confirmed
1035,32,confirmed
1036,32,confirmed
1037,32,confirmed
1038,32,confirmed
1039,32,confirmed
1040,43,confirmed
1041,14,confirmed
1042,148,confirmed
1043,148,confirmed
1044,21,confirmed
1045,21,confirmed
1046,,cancelled_by_rider
1047,61,confirmed
1048,43,confirmed
1049,43,confirmed
1050,48,confirmed
1051,16,confirmed
1052,61,confirmed
1053,42,confirmed
1054,42,confirmed
1055,21,confirmed
1056,19,confirmed
1057,19,confirmed
1058,21,confirmed
1059,19,confirmed
1060,19,confirmed
1061,44,confirmed
1062,199,confirmed
1063,77,confirmed
1064,77,confirmed
1065,59,confirmed
1066,51,confirmed
1067,77,confirmed
1068,77,confirmed
1069,59,confirmed
1070,77,confirmed
1071,44,confirmed
1072,77,confirmed
1073,,cancelled_by_rider
1074,,cancelled_by_rider
1075,,cancelled_by_rider
1076,,cancelled_by_rider
1077,199,confirmed
1078,27,confirmed
1079,,cancelled_by_rider
1080,,cancelled_by_rider
1081,42,confirmed
1082,24,confirmed
1083,200,confirmed
1084,61,confirmed
1085,56,confirmed
1086,42,confirmed
1087,61,confirmed
1088,21,confirmed
1089,200,confirmed
1090,61,confirmed
1091,21,confirmed
1092,24,confirmed
1093,61,confirmed
1094,148,confirmed
1095,68,confirmed
1096,42,confirmed
1097,58,confirmed
